Time,Ligand,Kurtosis,Mean,Date,Cell,Dose,Skew,Variance,alphStatCov,Bivalent
2.0,IL2,-0.11432914003559613,21657.165664109565,3/15/2019,Thelper,84.0,1.0670454726361505,755717239.516753,-185451.60094419488,0
2.0,IL2,-0.04884840116883149,21418.762389253585,3/15/2019,Thelper,28.0,1.0681806088556267,711896549.2886428,-136563.03920710617,0
2.0,IL2,0.07535411041868656,20922.510048665976,3/15/2019,Thelper,9.333333,1.1250652653854414,715288483.0007551,-121291.91113680725,0
2.0,IL2,0.4916440730749847,19242.393022316734,3/15/2019,Thelper,3.111,1.2345606109344116,610316959.8972782,-85536.86993150933,0
2.0,IL2,2.0597828624515104,13884.988073653736,3/15/2019,Thelper,1.037037,1.6977663907082436,459380571.3672617,7574.775793617556,0
2.0,IL2,3.7826071300768316,10863.779861638208,3/15/2019,Thelper,0.345679,2.0488405844859368,345036767.94049984,59774.56703691225,0
2.0,IL2,8.626429880556215,6544.463523075223,3/15/2019,Thelper,0.115226,2.8259056433199854,190602369.43736684,122858.31521621376,0
2.0,IL2,27.822272388430434,2814.6680990932723,3/15/2019,Thelper,0.038409,4.707542784764518,65473058.25122356,111014.5496347301,0
2.0,IL2,96.76467304184337,961.0546883612656,3/15/2019,Thelper,0.012803,8.228685186223357,19943419.30679129,70814.48302575717,0
2.0,IL2,156.82775431115746,367.59128122423726,3/15/2019,Thelper,0.004268,9.700270895707572,6770547.30555303,34777.719596691466,0
2.0,IL2,181.90166429983915,183.1560398356478,3/15/2019,Thelper,0.001423,10.258573588817026,5496125.357140328,28693.123151925553,0
2.0,IL2,177.34454437250113,226.94681927640931,3/15/2019,Thelper,0.000474,10.974073981830696,8601529.765196646,18385.68302037921,0
1.0,IL2,-0.24834135065390317,23034.900597980206,3/15/2019,Thelper,84.0,0.9748861335739183,717838065.5562963,-111019.99462355518,0
1.0,IL2,1.493841214154104,16030.17095419434,3/15/2019,Thelper,28.0,1.470078494136451,465608465.05149645,1549966.3282811828,0
1.0,IL2,2.525496698331078,13393.804263597507,3/15/2019,Thelper,9.333333,1.6987288872138357,364483423.1904392,1807517.1795870096,0
1.0,IL2,0.3289638663768586,19759.299148900518,3/15/2019,Thelper,3.111,1.1252301548755526,547873743.9312085,-11287.730553650745,0
1.0,IL2,-0.6033623541749789,25891.39398726961,3/15/2019,Thelper,1.037037,0.7885862799315573,751674565.3517638,301242.1786652604,0
1.0,IL2,2.495384469050765,12780.801237570426,3/15/2019,Thelper,0.345679,1.7568287504817393,373034110.74854416,110409.01979521394,0
1.0,IL2,7.813127333374192,6452.339485463974,3/15/2019,Thelper,0.115226,2.659143536572172,158194910.16572475,66640.3334480633,0
1.0,IL2,24.10873805798176,2791.918296788987,3/15/2019,Thelper,0.038409,4.330226550802575,56912180.048307784,81065.02998582681,0
1.0,IL2,68.12431717374977,916.7747314041035,3/15/2019,Thelper,0.012803,6.855468870381607,16796326.47686101,36441.0536054371,0
1.0,IL2,108.90930777891988,324.62322360287226,3/15/2019,Thelper,0.004268,8.225191522818145,7144776.766588456,37290.82669793656,0
1.0,IL2,242.9498928541667,18.493477425425453,3/15/2019,Thelper,0.001423,11.328067697610273,4858421.055156188,24315.584640541823,0
1.0,IL2,331.49164795191996,0.0,3/15/2019,Thelper,0.000474,11.666934536426961,3154061.3566622944,29551.769750831976,0
0.5,IL2,-0.7800581867072673,28154.616968223185,3/15/2019,Thelper,84.0,0.5427020803244439,660482265.2905636,-77749.03434759461,0
0.5,IL2,-0.9989362597431617,31749.57554935328,3/15/2019,Thelper,28.0,0.46955431379623735,831390839.8415238,-31061.979788620974,0
0.5,IL2,-1.0676269625153916,32517.043048581192,3/15/2019,Thelper,9.333333,0.4506338891219213,867431429.7737616,-40458.461060403555,0
0.5,IL2,-0.9189149621792336,30086.037020192216,3/15/2019,Thelper,3.111,0.5887836952372393,850679730.3066052,-2464.3042529553927,0
0.5,IL2,-0.003980226942135179,20642.282616623084,3/15/2019,Thelper,1.037037,1.101852355704773,684042385.1244223,145574.69274100664,0
0.5,IL2,5.080715124130357,9070.264074902054,3/15/2019,Thelper,0.345679,2.2698594515536836,269678117.44088656,185531.14600332078,0
0.5,IL2,16.04399074018018,4101.994576027388,3/15/2019,Thelper,0.115226,3.615139393013428,98958540.9957645,103210.02776303905,0
0.5,IL2,61.139342874913964,844.292821907382,3/15/2019,Thelper,0.038409,6.568909314389201,17801456.88562763,56885.31769489292,0
0.5,IL2,151.665409398539,368.383382956034,3/15/2019,Thelper,0.012803,9.343058898093872,8768989.053707767,42231.213010904896,0
0.5,IL2,225.32103854533722,18.362045318410992,3/15/2019,Thelper,0.004268,11.17536912384557,4807546.646390975,31945.169120491882,0
0.5,IL2,309.40332827905047,0.0,3/15/2019,Thelper,0.001423,13.073919453195522,4944904.104609115,24791.52189568899,0
0.5,IL2,152.63504714800942,0.0,3/15/2019,Thelper,0.000474,9.176837504286306,3383426.230796254,20880.21782472417,0
4.0,IL15,1.885360768825886,13013.720160450313,3/15/2019,Thelper,84.0,1.5336596936286968,326214296.0176678,1166610.1458598576,0
4.0,IL15,1.1902627009200728,16061.105678819647,3/15/2019,Thelper,28.0,1.3969717523550271,467317424.2739857,1660489.1066442374,0
4.0,IL15,-0.04681065584397626,20751.111959070095,3/15/2019,Thelper,9.333333,1.0004900333183135,598890724.51672,559682.0481685927,0
4.0,IL15,-0.12408640104168622,21404.94095555037,3/15/2019,Thelper,3.111,0.9840070929160298,631126409.4705151,291880.0441641804,0
4.0,IL15,0.5195083568521355,17238.262491434776,3/15/2019,Thelper,1.037037,1.1485386691776742,431922444.84578437,182973.49802086956,0
4.0,IL15,8.518997522708114,5108.688672429622,3/15/2019,Thelper,0.345679,2.6436674697124696,88297498.36621973,40511.35400930317,0
4.0,IL15,42.34445830027041,1174.5677972212688,3/15/2019,Thelper,0.115226,5.159931593883259,14662026.770112315,17813.115356834347,0
4.0,IL15,64.69037612623863,194.14650250939349,3/15/2019,Thelper,0.038409,5.614455826825243,3826723.304875712,16262.083972155326,0
4.0,IL15,164.70432072895844,297.8338647876494,3/15/2019,Thelper,0.012803,10.706100182254296,10478249.34600129,21995.062996052144,0
4.0,IL15,108.20729001862401,0.0,3/15/2019,Thelper,0.004268,6.411418055061058,2272994.4425544757,13582.918942743929,0
4.0,IL15,66.66587116383292,0.0,3/15/2019,Thelper,0.001423,5.128839666093585,2104048.128020647,9113.60013345193,0
4.0,IL15,393.263939262518,0.0,3/15/2019,Thelper,0.000474,14.9268550761234,3901676.373976802,13547.037382575932,0
2.0,IL15,0.294065393897311,19147.80900231967,3/15/2019,Thelper,84.0,1.1915386565692223,619051280.503843,27960.32350578024,0
2.0,IL15,0.6328247428143108,17779.51685404924,3/15/2019,Thelper,28.0,1.2666327504647754,544842105.1959748,-8268.528197190628,0
2.0,IL15,0.3292651096712307,18984.99275208198,3/15/2019,Thelper,9.333333,1.1684701446427028,580505089.5504247,-22983.84983200799,0
2.0,IL15,0.6175919173774531,17124.739201124787,3/15/2019,Thelper,3.111,1.2590775932249916,505056554.360302,-56945.62328288521,0
2.0,IL15,6.070547104409771,7858.065148114996,3/15/2019,Thelper,1.037037,2.276208715934123,158323694.73802766,-13296.346221903712,0
2.0,IL15,48.809533488694406,1583.3895582903333,3/15/2019,Thelper,0.345679,5.511211309437731,19556928.263713058,44430.017076127755,0
2.0,IL15,267.5159822265836,307.59488588118484,3/15/2019,Thelper,0.115226,11.103176060156697,5247216.078864417,30504.433068042337,0
2.0,IL15,211.13262883124872,0.0,3/15/2019,Thelper,0.038409,11.023392133913985,4316872.396327329,27791.02748615753,0
2.0,IL15,189.4845904632326,52.968936228432995,3/15/2019,Thelper,0.012803,10.615541274638165,5232524.005894009,31517.311194433354,0
2.0,IL15,148.81864058401553,0.0,3/15/2019,Thelper,0.004268,7.9949390918721805,2758130.008886894,19905.717591814377,0
2.0,IL15,202.24896611449384,0.0,3/15/2019,Thelper,0.001423,10.813150394080479,3866117.209840049,11755.368315947773,0
2.0,IL15,229.54904773420122,0.0,3/15/2019,Thelper,0.000474,8.48219297268643,1988962.4812470681,17546.471206022157,0
1.0,IL15,0.17011587231828473,19632.091501587227,3/15/2019,Thelper,84.0,1.0871551634840628,568702566.8348681,-31598.127992206875,0
1.0,IL15,-0.002723250671545774,20234.24303403964,3/15/2019,Thelper,28.0,1.0317304166381909,586451978.3779457,-85376.90768896094,0
1.0,IL15,-0.05327331599074636,20822.663514136097,3/15/2019,Thelper,9.333333,1.0210222485697504,610683757.2184173,-140560.99102475616,0
1.0,IL15,0.2518970954070343,19147.528885458632,3/15/2019,Thelper,3.111,1.0869963361468642,522261356.4679242,-1473.8808412739052,0
1.0,IL15,2.43393540834904,11778.365794118841,3/15/2019,Thelper,1.037037,1.5881070100127654,239206830.40030485,-23148.78779361435,0
1.0,IL15,25.957876413404115,2243.448075424862,3/15/2019,Thelper,0.345679,4.031868744955164,23449810.335976843,6284.928559623824,0
1.0,IL15,191.92399217988532,415.16421183364264,3/15/2019,Thelper,0.115226,10.203745556903426,5617544.993683669,25726.293600889705,0
1.0,IL15,195.05093557952398,124.46252235434827,3/15/2019,Thelper,0.038409,10.433432895173276,4252221.865062582,25686.887314089192,0
1.0,IL15,243.16259649390514,116.16773374484274,3/15/2019,Thelper,0.012803,10.358475490096374,3400099.322326758,48542.80841400258,0
1.0,IL15,263.19252908640885,395.7813491864713,3/15/2019,Thelper,0.004268,13.133429734965992,8863316.74588731,46247.84810453559,0
1.0,IL15,264.5529732989198,199.51037029888312,3/15/2019,Thelper,0.001423,11.9739928154735,4675708.137557898,50396.50584415992,0
1.0,IL15,207.90602699880134,0.0,3/15/2019,Thelper,0.000474,10.270762537232732,4303760.01498275,73399.1051700186,0
0.5,IL15,-0.8724778007549778,29201.470388922604,3/15/2019,Thelper,84.0,0.5634948996788667,755180430.1097207,-157580.28254797106,0
0.5,IL15,-0.8133642747162049,29061.20147891808,3/15/2019,Thelper,28.0,0.5416741015827623,703389633.1479079,-111725.09780572087,0
0.5,IL15,-0.8765421789407117,29172.784928434106,3/15/2019,Thelper,9.333333,0.5310476034123182,725391106.345793,-144976.0761551347,0
0.5,IL15,-1.1136406380433426,33766.396147422296,3/15/2019,Thelper,3.111,0.33863895969781477,817209100.3899312,-87440.61749816213,0
0.5,IL15,-0.173990026338668,21007.826263462914,3/15/2019,Thelper,1.037037,0.77707461746481,411284970.50096625,5375.392228501769,0
0.5,IL15,30.72482276812952,2438.1674433029416,3/15/2019,Thelper,0.345679,3.8392466132775547,17236260.553951524,-9604.944487103816,0
0.5,IL15,252.09303867059438,565.8780668202257,3/15/2019,Thelper,0.115226,9.52801458559041,4025921.2393131354,19091.080857927947,0
0.5,IL15,138.5314675879133,260.76274248410164,3/15/2019,Thelper,0.038409,7.403404101547632,2893027.677775036,21719.842801458097,0
0.5,IL15,330.8440192702387,184.39911041967025,3/15/2019,Thelper,0.012803,11.372510200819477,2841486.4715313655,19399.14944912517,0
0.5,IL15,430.63059269236635,352.8689727266328,3/15/2019,Thelper,0.004268,13.521600975464223,4054952.0196002894,38124.663416275864,0
0.5,IL15,475.91837320734203,126.63395853288739,3/15/2019,Thelper,0.001423,15.376495960510331,3771856.3016412724,18583.898340650037,0
0.5,IL15,83.13181399905417,53.159260602742506,3/15/2019,Thelper,0.000474,6.2805568885765215,2854603.337547736,61375.10514117254,0
4.0,IL2,0.5216179867942516,6785.015262395162,3/27/2019,Treg,84.0,0.34298198268096564,98753125.51322636,188071.18133721466,0
4.0,IL2,-0.07001452105047878,5345.731676819236,3/27/2019,Treg,28.0,0.2474666472128264,92520619.427336,244419.4629621798,0
4.0,IL2,0.9390949892274647,11086.913026177604,3/27/2019,Treg,9.333333,0.7807532614538691,183886636.195751,412638.409972077,0
4.0,IL2,1.0756080132869563,12401.4632957969,3/27/2019,Treg,3.111,0.6107219098026047,174111483.3505042,757106.5265170536,0
4.0,IL2,0.568532380862298,13101.159360105677,3/27/2019,Treg,1.037037,0.45580605437706456,170704804.12724215,125964.48950704679,0
4.0,IL2,0.06399608440030757,24478.317279650106,3/27/2019,Treg,0.345679,0.23588020036812715,354890493.3803268,547544.1311256876,0
4.0,IL2,-0.42076508245954747,30565.14533649226,3/27/2019,Treg,0.115226,-0.024300600168141066,455244810.7568677,664674.9901096474,0
4.0,IL2,-0.5406119949583368,28705.259163712388,3/27/2019,Treg,0.038409,-0.0030432580761427224,454293786.31174207,902158.4626471729,0
4.0,IL2,-0.5295341500575073,23161.609237542954,3/27/2019,Treg,0.012803,0.32268736533972403,524758888.2137573,1898517.9008141174,0
4.0,IL2,-0.09433750072993874,7238.048237755163,3/27/2019,Treg,0.004268,0.7949300993345738,385879920.55949026,2003242.5436077158,0
