Dose,Bin,Time,Mean,Date,NumCells,Cell,Ligand,Bivalent
0.115226,3,0.5,27650.19,11/8/2019,78,Treg,WT N-term,1
0.038409,1,0.5,2597.248,11/8/2019,128,Treg,WT N-term,1
0.038409,2,0.5,10288.352,11/8/2019,121,Treg,WT N-term,1
0.038409,3,0.5,17451.791,11/8/2019,57,Treg,WT N-term,1
0.012803,1,0.5,0.0,11/8/2019,109,Treg,WT N-term,1
0.012803,2,0.5,1252.1201,11/8/2019,156,Treg,WT N-term,1
0.012803,3,0.5,7602.302,11/8/2019,83,Treg,WT N-term,1
0.004268,1,0.5,0.0,11/8/2019,122,Treg,WT N-term,1
0.004268,2,0.5,0.0,11/8/2019,151,Treg,WT N-term,1
0.004268,3,0.5,2251.6826,11/8/2019,62,Treg,WT N-term,1
0.001423,1,0.5,0.0,11/8/2019,122,Treg,WT N-term,1
0.001423,2,0.5,0.0,11/8/2019,146,Treg,WT N-term,1
0.001423,3,0.5,1644.6816,11/8/2019,45,Treg,WT N-term,1
0.000474,1,0.5,0.0,11/8/2019,115,Treg,WT N-term,1
0.000474,2,0.5,0.0,11/8/2019,134,Treg,WT N-term,1
0.000474,3,0.5,3957.335,11/8/2019,47,Treg,WT N-term,1
84.0,1,4.0,9455.054,11/8/2019,1352,Thelper,WT N-term,0
84.0,2,4.0,9204.198,11/8/2019,2364,Thelper,WT N-term,0
84.0,3,4.0,16526.031,11/8/2019,2752,Thelper,WT N-term,0
28.0,1,4.0,7176.421,11/8/2019,1988,Thelper,WT N-term,0
28.0,2,4.0,6595.616,11/8/2019,3299,Thelper,WT N-term,0
28.0,3,4.0,12193.666,11/8/2019,5294,Thelper,WT N-term,0
9.333333,1,4.0,4356.932,11/8/2019,1875,Thelper,WT N-term,0
9.333333,2,4.0,4129.513,11/8/2019,2791,Thelper,WT N-term,0
9.333333,3,4.0,10636.809,11/8/2019,4584,Thelper,WT N-term,0
3.111,1,4.0,2399.475,11/8/2019,2212,Thelper,WT N-term,0
3.111,2,4.0,2594.2808,11/8/2019,2776,Thelper,WT N-term,0
3.111,3,4.0,9213.284,11/8/2019,5594,Thelper,WT N-term,0
1.037037,1,4.0,817.7864,11/8/2019,1403,Thelper,WT N-term,0
1.037037,2,4.0,1209.7183,11/8/2019,2047,Thelper,WT N-term,0
1.037037,3,4.0,7567.3613,11/8/2019,3727,Thelper,WT N-term,0
0.345679,1,4.0,577.97046,11/8/2019,2137,Thelper,WT N-term,0
0.345679,2,4.0,1350.8882,11/8/2019,3119,Thelper,WT N-term,0
